paige|paige-ing a cutie
ayla|aylave you qt
iris|irisponsibly cute
maya|more like ani madhima
em|em-azing
april|ap-real cutie
aj|a jewel <3
vin|ha-vin a cute time
ash|m-ash cutatous
kiera|uncuteness is a disease, and she is the Kiera
pun|stick to your puns
clem|critical a-clem of cuteness
cass|cass, her role is cutie
luna|a big old inflatable ba-luna love
kura|a cuteness of an unnatural o-kura-nce
dia|diagram of awesomeness
anna|I w-anna say that she's a cutie
nord|awesomeness that cannot be ig-nord
lucy|at lucy it's easy lucy how cute she is
avery|avery person needs someone like them
nicole|the nicoolest
nadia|nadia-ying to see her
autumn|not fall-ing short of cutie
tara|tara-bly cute
crim|sweet like icecrim
amber|amber-essingly cute
kate|itri-kate cuteness
